id,observed_on_string,observed_on,Unnamed: 3,year,time_observed_at,time_zone,user_id,user_login,Source,created_at,updated_at,quality_grade,license,url,image_url,place_guess,latitude,longitude,species_guess,scientific_name,common_name,taxon_id,combined lat and long
,"Monday, May 25, 2009",########,,2009,,Eastern Time (US & Canada),,Burnt Umber,Flickr,########,,,,http://www.flickr.com/photos/rpilla001/3563935274/,http://c1.staticflickr.com/4/3610/3563935274_9aff43cb5f.jpg,"Saint Lucie County, Florida.",27.3226,80.5438,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"27.3226,80.5438"
,"Saturday, June 24, 2017",########,,2017,,Pacific Daylight Time,,HandsOff,Flickr,########,,,,http://www.flickr.com/photos/handsoff/34739284613/,http://c1.staticflickr.com/5/4234/34739284613_57c7d2ae2b_n.jpg,"Santa Cruz, California",36.97437,122.0308,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"36.97437,122.0308"
,"Sunday, June 15, 2014",########,,2014,,Singapore Standard Time,,[wj],Flickr,########,,,,http://www.flickr.com/photos/jameskoh/14234797798/,http://c1.staticflickr.com/6/5112/14234797798_611065eb1b_n.jpg,Singapore,1.3521,103.8198,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"1.3521,103.8198"
,"Sunday, October 16, 2016",########,,2016,,Central European Time ,,NagySandor.EU,Flickr,########,,,,http://www.flickr.com/photos/nagysandor/30154742570/,http://c1.staticflickr.com/6/5518/30154742570_8cb240297d_n.jpg,"Törökbálint, Hungary",47.4385,18.9108,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"47.4385,18.9108"
,"Friday, December 30, 2016",########,,2016,,Australian Eastern Standard Time,,tessab101,Flickr,########,,,,http://www.flickr.com/photos/125933031@N05/32237459810/,http://c1.staticflickr.com/1/315/32237459810_79fd551884_n.jpg,"Warrimoo, Austrailia",33.7215,150.6036,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"33.7215,150.6036"
,,1930,,1930,,,,"Haelewaters D, Comont RF, Zhao SY, Pfister DH. 2014. Hesperomyces virescens (Fungi, Ascomycota, Laboulbeniales) attacking Harmonia axyridis (Coleoptera, Coccinellidae) in its native range. Chinese Science Bulletin 59(5-6): 528-532. https://doi.org/10.1007/s11434-013-0060-1",Published Record,,,,,"Haelewaters D, Comont RF, Zhao SY, Pfister DH. 2014. Hesperomyces virescens (Fungi, Ascomycota, Laboulbeniales) attacking Harmonia axyridis (Coleoptera, Coccinellidae) in its native range. Chinese Science Bulletin 59(5-6): 528-532. https://doi.org/10.1007/s11434-013-0060-1",,"Sichuan Province,China",30.5000001,102.4999999,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"30.5000001,102.4999999"
,,2002,,2002,,,,"Haelewaters D, Zhao SY, Clusella-Trullas S, Cottrell TE, De Kesel A, Fiedler L, Herz A, Hesketh H, Hui C, Kleespies RG, Losey JE, Minnaar IA, Murray KM, Nedv?d O, Pfliegler WP, Raak-van den Berg CL, Riddick EW, Shapiro-Ilan DI, Smyth RR, Steenberg T, van Wielink PS, ViglÃ¡ÂšovÃ¡ S, Zhao Z, Ceryngier P, Roy HE. 2017. Parasites of Harmonia axyridis: current research and perspectives. BioControl 62(3): 355-371. https://doi.org/10.1007/s10526-016-9766-8",Published Record,,,,,"Haelewaters D, Zhao SY, Clusella-Trullas S, Cottrell TE, De Kesel A, Fiedler L, Herz A, Hesketh H, Hui C, Kleespies RG, Losey JE, Minnaar IA, Murray KM, Nedv?d O, Pfliegler WP, Raak-van den Berg CL, Riddick EW, Shapiro-Ilan DI, Smyth RR, Steenberg T, van Wielink PS, ViglÃ¡ÂšovÃ¡ S, Zhao Z, Ceryngier P, Roy HE. 2017. Parasites of Harmonia axyridis: current research and perspectives. BioControl 62(3): 355-371. https://doi.org/10.1007/s10526-016-9766-8",,"Virginia,USA",37.1232245,-78.4927721,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"37.1232245,-78.4927721"
,,2002,,2002,,,,"Haelewaters D, Zhao SY, Clusella-Trullas S, Cottrell TE, De Kesel A, Fiedler L, Herz A, Hesketh H, Hui C, Kleespies RG, Losey JE, Minnaar IA, Murray KM, Nedv?d O, Pfliegler WP, Raak-van den Berg CL, Riddick EW, Shapiro-Ilan DI, Smyth RR, Steenberg T, van Wielink PS, ViglÃ¡ÂšovÃ¡ S, Zhao Z, Ceryngier P, Roy HE. 2017. Parasites of Harmonia axyridis: current research and perspectives. BioControl 62(3): 355-371. https://doi.org/10.1007/s10526-016-9766-8",Published Record,,,,,"Haelewaters D, Zhao SY, Clusella-Trullas S, Cottrell TE, De Kesel A, Fiedler L, Herz A, Hesketh H, Hui C, Kleespies RG, Losey JE, Minnaar IA, Murray KM, Nedv?d O, Pfliegler WP, Raak-van den Berg CL, Riddick EW, Shapiro-Ilan DI, Smyth RR, Steenberg T, van Wielink PS, ViglÃ¡ÂšovÃ¡ S, Zhao Z, Ceryngier P, Roy HE. 2017. Parasites of Harmonia axyridis: current research and perspectives. BioControl 62(3): 355-371. https://doi.org/10.1007/s10526-016-9766-8",,"Tennessee,USA",35.7730076,-86.2820081,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"35.7730076,-86.2820081"
,,2002,,2002,,,,"Garces S, Williams R. 2004. First record of Hesperomyces virescens Thaxter (Laboulbeniales: Ascomycetes) on Harmonia axyridis (Pallas) (Coleoptera: Coccinellidae). Journal of the Kansas Entomological Society 77(2): 156-158.",Published Record,,,,,"Garces S, Williams R. 2004. First record of Hesperomyces virescens Thaxter (Laboulbeniales: Ascomycetes) on Harmonia axyridis (Pallas) (Coleoptera: Coccinellidae). Journal of the Kansas Entomological Society 77(2): 156-158.",,"Ohio,USA",40.2253569,-82.6881395,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.2253569,-82.6881395"
,,2002,,2002,,,,"Riddick EW, Schaefer PW. 2005. Occurrence, density, and distribution of parasitic fungus Hesperomyces virescens (Laboulbeniales: Laboulbeniaceae) on multicolored asian lady beetle (Coleoptera: Coccinellidae). Annals of the Entomological Society of America 98(4): 615-624.",Published Record,,,,,"Riddick EW, Schaefer PW. 2005. Occurrence, density, and distribution of parasitic fungus Hesperomyces virescens (Laboulbeniales: Laboulbeniaceae) on multicolored asian lady beetle (Coleoptera: Coccinellidae). Annals of the Entomological Society of America 98(4): 615-624.",,"Pennsylvania,USA",40.9699889,-77.7278831,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.9699889,-77.7278831"
,,2003,,2003,,,,"Riddick EW, Schaefer PW. 2005. Occurrence, density, and distribution of parasitic fungus Hesperomyces virescens (Laboulbeniales: Laboulbeniaceae) on multicolored asian lady beetle (Coleoptera: Coccinellidae). Annals of the Entomological Society of America",Published Record,,,,,"Riddick EW, Schaefer PW. 2005. Occurrence, density, and distribution of parasitic fungus Hesperomyces virescens (Laboulbeniales: Laboulbeniaceae) on multicolored asian lady beetle (Coleoptera: Coccinellidae). Annals of the Entomological Society of America",,"Pennsylvania,USA",40.9699889,-77.7278831,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.9699889,-77.7278831"
,,2003,,2003,,,,"Nalepa CA, Weir A. 2007. Infection of Harmonia axyridis (Coleoptera: Coccinellidae) by Hesperomyces virescens (Ascomycetes: Laboulbeniales): Role of mating status and aggregation behavior. Journal of Invertebrate Pathology 94: 196-203.",Published Record,,,,,"Nalepa CA, Weir A. 2007. Infection of Harmonia axyridis (Coleoptera: Coccinellidae) by Hesperomyces virescens (Ascomycetes: Laboulbeniales): Role of mating status and aggregation behavior. Journal of Invertebrate Pathology 94: 196-203.",,"North Carolina,USA",35.6729639,-79.0392919,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"35.6729639,-79.0392919"
,,2003,,2003,,,,"Nalepa CA, Weir A. 2007. Infection of Harmonia axyridis (Coleoptera: Coccinellidae) by Hesperomyces virescens (Ascomycetes: Laboulbeniales): Role of mating status and aggregation behavior. Journal of Invertebrate Pathology 94: 196-203.",Published Record,,,,,"Nalepa CA, Weir A. 2007. Infection of Harmonia axyridis (Coleoptera: Coccinellidae) by Hesperomyces virescens (Ascomycetes: Laboulbeniales): Role of mating status and aggregation behavior. Journal of Invertebrate Pathology 94: 196-203.",,"North Carolina,USA",35.6729639,-79.0392919,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"35.6729639,-79.0392919"
,,2003,,2003,,,,"Nalepa CA, Weir A. 2007. Infection of Harmonia axyridis (Coleoptera: Coccinellidae) by Hesperomyces virescens (Ascomycetes: Laboulbeniales): Role of mating status and aggregation behavior. Journal of Invertebrate Pathology 94: 196-203.",Published Record,,,,,"Nalepa CA, Weir A. 2007. Infection of Harmonia axyridis (Coleoptera: Coccinellidae) by Hesperomyces virescens (Ascomycetes: Laboulbeniales): Role of mating status and aggregation behavior. Journal of Invertebrate Pathology 94: 196-203.",,"North Carolina,USA",35.6729639,-79.0392919,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"35.6729639,-79.0392919"
,,2004,,2004,,,,"Nalepa CA, Weir A. 2007. Infection of Harmonia axyridis (Coleoptera: Coccinellidae) by Hesperomyces virescens (Ascomycetes: Laboulbeniales): Role of mating status and aggregation behavior. Journal of Invertebrate Pathology 94: 196-203.",Published Record,,,,,"Nalepa CA, Weir A. 2007. Infection of Harmonia axyridis (Coleoptera: Coccinellidae) by Hesperomyces virescens (Ascomycetes: Laboulbeniales): Role of mating status and aggregation behavior. Journal of Invertebrate Pathology 94: 196-203.",,"North Carolina,USA",35.6729639,-79.0392919,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"35.6729639,-79.0392919"
,,2003,,2003,,,,"Riddick EW. 2006. Influence of host gender on infection rate, density and distribution of the parasitic fungus, Hesperomyces virescens, on the multicolored Asian lady beetle, Harmonia axyridis. Journal of Insect Science 6: 42.",Published Record,,,,,"Riddick EW. 2006. Influence of host gender on infection rate, density and distribution of the parasitic fungus, Hesperomyces virescens, on the multicolored Asian lady beetle, Harmonia axyridis. Journal of Insect Science 6: 42.",,"Mississippi,USA",32.9715285,-89.7348497,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"32.9715285,-89.7348497"
,,2004,,2004,,,,"Riddick EW. 2006. Influence of host gender on infection rate, density and distribution of the parasitic fungus, Hesperomyces virescens, on the multicolored Asian lady beetle, Harmonia axyridis. Journal of Insect Science 6: 42.",Published Record,,,,,"Riddick EW. 2006. Influence of host gender on infection rate, density and distribution of the parasitic fungus, Hesperomyces virescens, on the multicolored Asian lady beetle, Harmonia axyridis. Journal of Insect Science 6: 42.",,"Mississippi,USA",32.9715285,-89.7348497,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"32.9715285,-89.7348497"
,,2004,,2004,,,,Harwood et al. (2006b),Published Record,,,,,Harwood et al. (2006b),,"Kentucky,USA",37.5726028,-85.1551411,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"37.5726028,-85.1551411"
,,2004,,2004,,,,This paper: Additional material examined,Published Record,,,,,This paper: Additional material examined,,"Stephens County,USA",32.6944793,-98.8200722,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"32.6944793,-98.8200722"
,,2005,,2005,,,,Harwood et al. (2006a),Published Record,,,,,Harwood et al. (2006a),,"Brookings County,USA",44.3763598,-96.7925213,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"44.3763598,-96.7925213"
,,2005,,2005,,,,Harwood et al. (2006a),Published Record,,,,,Harwood et al. (2006a),,"Centre County,USA",40.9381735,-77.7865722,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"40.9381735,-77.7865722"
,,2005,,2005,,,,Harwood et al. (2006a),Published Record,,,,,Harwood et al. (2006a),,"Kentucky,USA",37.5726028,-85.1551411,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"37.5726028,-85.1551411"
,,2005,,2005,,,,Harwood et al. (2006a),Published Record,,,,,Harwood et al. (2006a),,"Payne County,USA",36.0721527,-96.9456522,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"36.0721527,-96.9456522"
,,2005,,2005,,,,Harwood et al. (2006a),Published Record,,,,,Harwood et al. (2006a),,"Washington County,USA",30.2226352,-96.3936114,Green Beetle Hanger,Hesperomyces virescens,Green Beetle Hanger,,"30.2226352,-96.3936114"
