3T_,consecutive fly ID,unique 3T identifier,Bat voucher,Bat family,Bat genus,Bat species epithet,Bat species,Bat identified by,Sex,"Age (J = juvenile, A = adult, SA = subadult)",Reproductive status,Body mass,Forearm,Bat genetic information,Diet,Roosting ecology,Bat flies?,Bat fly family,Bat fly genus,Bat fly species epithet,Bat fly species,Bat fly identified by,Bat fly sex,Bat fly ecomorphology,Bat fly ecology,Bat fly wing,Laboul infection?,Double infection?,Laboul genus 1,Laboul species 1,Position(s) infected 1,Laboul genus 2,Laboul species 2,Position(s) infected 2,Laboul(s) identified by,Country,Territory,Settlement,Location,Open/Close,Latitude,Longitude,Climate zone,Day,Month,Year,Contact <email>,Comments,Screened by,Voucher slides,Isolate,Sequences,Reference
3T_,23,3T_00023,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,24,3T_00024,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,wing crawler,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,25,3T_00025,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Speiseria,ambigua,Speiseria ambigua,,F,Fur runner,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,26,3T_00026,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Speiseria,ambigua,Speiseria ambigua,,F,Fur runner,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,27,3T_00027,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Speiseria,ambigua,Speiseria ambigua,,M,Fur runner,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,28,3T_00028,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Speiseria,ambigua,Speiseria ambigua,,M,Fur runner,oligoxenous,full developed,uninfected,,,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,29,3T_00029,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,Wing crawler,oligoxenous,full developed,infected,,Laboulbeniales sp.,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,30,3T_00030,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,Wing crawler,oligoxenous,full developed,infected,,Laboulbeniales sp.,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,31,3T_00031,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,Wing crawler,oligoxenous,full developed,infected,,Laboulbeniales sp.,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,32,3T_00032,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,Wing crawler,oligoxenous,full developed,infected,,Laboulbeniales sp.,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,33,3T_00033,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,Wing crawler,oligoxenous,full developed,infected,,Laboulbeniales sp.,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,34,3T_00034,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,Wing crawler,oligoxenous,full developed,infected,,Laboulbeniales sp.,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,35,3T_00035,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,M,Wing crawler,oligoxenous,full developed,infected,,Laboulbeniales sp.,,,,,,,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,,,,
3T_,36,3T_00036,JJC tube # 2,Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,,F,,,,,,frugivore,4.92,Present,Streblidae,Trichobius,joblingi,Trichobius joblingi,,F,Wing crawler,oligoxenous,full developed,infected,,Gloeandromyces,streblae f. streblae,left lateral lobe of tergum I+II,,,,Danny Haelewaters,Trinidad,,,"10º27'50.58""N 61º11'53.27""W",,11.855,-62.66305556,Neotropics,,,2014,Jasmin J. Camacho <jasminjcamacho@gmail.com>,JJC tube # 2,Danny Haelewaters,DH949a,,,
3T_,37,3T_00037,,Rhinolophidae,Rhinolophus,euryale,Rhinolophus euryale,,NA,,,,,,insectivore,5.67,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,abdomen,,,,Walter P. Pfliegler,Hungary,,,Edelény,,48.3047968,20.7347,temperate,,,2014,,photo available,Danny Haelewaters,WPP,Edeleny,"SSU, LSU",
3T_,38,3T_00038,,Vespertilionidae,Barbastella,barbastellus,Barbastella barbastellus,,M,,,,,,insectivore,4.06,Present,Nycteribiidae,Basilia,italica,Basilia italica,,M,Fur swimmer,oligoxenous,no wings,uninfected,,,,,,,,,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2013,,,Danny Haelewaters,,,,
3T_,39,3T_00039,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,F,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,M,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2014,,,Danny Haelewaters,,,,
3T_,40,3T_00040,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,NA,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,M,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Walter P. Pfliegler,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2015,,"will be used for PCR, photo available",Danny Haelewaters,WPP,?,,
3T_,41,3T_00041,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,NA,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,M,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2015,,,Danny Haelewaters,,,,
3T_,42,3T_00042,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,F,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,,Danny Haelewaters,,,,
3T_,43,3T_00043,12EP77,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,M,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,abdomen,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,"12EP77, many thalli, photo and DNA available",Danny Haelewaters,WPP,12EP77,,
3T_,44,3T_00044,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,M,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,,Danny Haelewaters,,,,
3T_,45,3T_00045,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,M,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,,Danny Haelewaters,,,,
3T_,46,3T_00046,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,F,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Miskolc,,48.10289167,20.64381874,temperate,,,2012,,,Danny Haelewaters,,,,
3T_,47,3T_00047,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,M,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,,Danny Haelewaters,,,,
3T_,48,3T_00048,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,F,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2013,,,Danny Haelewaters,,,,
3T_,49,3T_00049,12EP144,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,F,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,abdomen,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2015,,"12EP144, photo and DNA available",Danny Haelewaters,DH1015c,"12EP144, DH1015a,d","SSU, ITS, LSU",
3T_,50,3T_00050,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,NA,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2015,,,Danny Haelewaters,,,,
3T_,51,3T_00051,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,NA,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,infected,,Arthrorhynchus,nycteribiae,,,,,Danny Haelewaters,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2015,,,Danny Haelewaters,,,,
3T_,52,3T_00052,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,F,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,M,Fur runner,monoxenous ,no wings,uninfected,,,,,,,,,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,,Danny Haelewaters,,,,
3T_,53,3T_00053,12EP52,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,M,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,M,Fur runner,monoxenous ,no wings,uninfected,,,,,,,,,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,12EP52,Danny Haelewaters,,,,
3T_,54,3T_00054,,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,F,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,M,Fur runner,monoxenous ,no wings,uninfected,,,,,,,,,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2014,,,Danny Haelewaters,,,,
3T_,55,3T_00055,12EP52,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,M,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,uninfected,,,,,,,,,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,12EP52,Danny Haelewaters,,,,
3T_,56,3T_00056,12EP84,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,M,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,uninfected,,,,,,,,,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,12EP84,Danny Haelewaters,,,,
3T_,57,3T_00057,12EP84,Miniopteridae,Miniopterus,schreibersii,Miniopterus schreibersii,,M,,,,,,insectivore,5.6,Present,Nycteribiidae,Penicillidia,conspicua,Penicillidia conspicua,,F,Fur runner,monoxenous ,no wings,uninfected,,,,,,,,,Hungary,,,Felsőtárkány,,48.00806567,20.43721061,temperate,,,2012,,12EP84,Danny Haelewaters,,,,
